name,value
东北大米,500.0
南方大米,400.0
花生,260.0
瓜子,250.0
南瓜,240.0
丝瓜,231.0
五常大米,220.0
车厘子,200.0
大豆油,198.0
全麦面包,160.0
水稻,160.0
胡萝卜,155.0
芹菜,150.0
鲁花花生油,149.0
古船非转基因大豆油,134.0
乐初非转基因大豆油,130.0
豆角,130.0
白萝卜,130.0
黄豆,120.0
豆芽,120.0
香椿,120.0
元宝牌大豆油,111.0
龙豆,111.0
鸡蛋,110.0
树莓,100.0
绿宝花生油,97.0
福临门花生油,96.0
鲁花非转基因大豆油,92.0
多力葵花籽油,91.0
松子,85.0
象拔蚌,85.0
福临门非转基因葵花籽油,82.0
金龙鱼非转基因葵花籽油,82.0
八爪鱼,80.0
琵琶虾,80.0
福临门非转基因玉米油,80.0
金龙鱼非转基因玉米油,80.0
黑莓,80.0
福临门菜籽油,78.0
羊鞭,75.0
牛金钱腱,70.0
福临门非转基因大豆油,69.0
非转基因九三大豆油,69.0
金龙鱼调和油,68.0
金龙鱼非转基因大豆油,68.0
绿宝调和油,66.0
母河蟹,65.0
牛鞭,65.0
福临门调和油,65.0
罗氏虾,65.0
胡桃,60.0
花螺,60.0
牛心管,58.0
福临门大豆油,58.0
金龙鱼大豆油,58.0
绿宝大豆油,57.0
开心果,55.0
生腰果,55.0
金果,55.0
黄花菜,55.0
古船大豆油,54.5
汇福大豆油,51.0
猪尾巴,50.0
石斑鱼,50.0
蓝莓,50.0
芦笋,49.0
扇贝,45.0
榴莲,45.0
熟腰果,45.0
牛前腱,45.0
牛后腱,45.0
牛百叶,45.0
牛舌,45.0
甲鱼,45.0
西梅,45.0
白虾（笼装）,44.0
精牛柳,42.0
菊苣,41.0
仙人掌,40.0
公河蟹,40.0
兰花,40.0
大榛,40.0
毛桃,40.0
莲子,40.0
蚕蛹,40.0
长寿果,40.0
马蹄笋,40.0
冬春笋,38.0
夏威夷果,38.0
无花果,38.0
桂鱼,38.0
牛柳,38.0
羊宝,38.0
羊肉片,38.0
美杏仁,38.0
释迦,38.0
金手指,38.0
去骨羊后腿,37.0
紫豇豆,37.0
去骨羊前腿,36.0
牛腰窝,36.0
羊上脑,36.0
羊腱子肉,36.0
羊里脊,36.0
小海白虾,35.0
山竹,35.0
巴旦木,35.0
牛上脑,35.0
牛尾,35.0
牛板筋,35.0
牛腩,35.0
肥牛,35.0
葡萄干,35.0
虾仁,35.0
牛前腿,34.0
牛后腿,34.0
牛林,34.0
羊腰窝,34.0
整牛,33.25
多宝鱼,33.0
猕猴桃,33.0
国产杏仁,32.0
李子,32.0
火箭果,32.0
牛筋头巴脑,32.0
纯排骨,32.0
黄蚬子,32.0
牛排骨,30.0
牛油果,30.0
猪肚,30.0
猫眼螺,30.0
白虾（精品）,30.0
鲜竹笋,30.0
鲽鱼,30.0
猪耳,29.0
黄鳝,29.0
牛蹄筋,28.0
石榴,28.0
羊排骨,28.0
整羊,27.5
毛豆仁,27.0
孢子甘蓝,26.0
法香,26.0
白条兔,26.0
羊腩,26.0
香蕉西葫,26.0
小河虾,25.0
杏肉,25.0
核桃仁,25.0
毛榛子,25.0
猪脑,25.0
球茎茴香,25.0
甜豆,25.0
白瓜子,25.0
白虾,25.0
蚕豆仁,25.0
鲍鱼果,25.0
墨鱼,24.0
猪蹄,24.0
荷兰豆,24.0
金鲳鱼,24.0
海螺,23.0
猪腰子,23.0
鸡翅中,23.0
古币香油,22.0
燕鲅,22.0
玫瑰香黑提,22.0
羊小腿,22.0
腔排骨,22.0
虹鳟鱼,22.0
鸡爪,22.0
嘎鱼,21.0
新疆干枣,20.0
无籽红提,20.0
月牙骨,20.0
牛肚,20.0
猪口条,20.0
猪肠头,20.0
羊肚,20.0
豆尖,20.0
豌豆苗,20.0
鹅蛋,20.0
猪肠,19.0
白条乳鸽,19.0
赤贝,19.0
鱼腥草叶,19.0
黄花鱼,19.0
澳柑,18.5
大雁蛋,18.0
夹豆,18.0
带子,18.0
杏核,18.0
泥鳅,18.0
牛宝,18.0
牛尾巴鱼,18.0
竹笋,18.0
红提,18.0
绿茶南瓜子,18.0
羊腰子,18.0
芦荟,18.0
葵花籽,18.0
青苹果,18.0
韭黄,18.0
鲟鱼,18.0
鸡胗,18.0
鸭脖子,18.0
黑瓜子,18.0
前肘,17.0
柠檬,17.0
淡水鲈鱼,17.0
羊心,17.0
羊蝎子,17.0
蛇果,16.5
多春鱼,16.0
小里脊,16.0
朝天椒,16.0
梅花肉,16.0
番杏,16.0
秋葵,16.0
蛏子,16.0
鱼腥草根,16.0
鱿鱼,16.0
鸭头,16.0
五花肉,15.0
凉瓜,15.0
姬娜果,15.0
小公鱼,15.0
山楂干,15.0
情人梅,15.0
护心肉,15.0
普核桃,15.0
桂圆,15.0
海鲈鱼,15.0
猕猴桃干,15.0
白薯干,15.0
羊蹄,15.0
