一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,牛肉类,整牛,33.25,33.25,33.25,斤,2022-01-01
肉禽蛋,牛肉类,牛前腱,38.0,39.0,40.0,斤,2022-01-01
肉禽蛋,牛肉类,牛后腱,38.0,39.0,40.0,斤,2022-01-01
肉禽蛋,牛肉类,牛前腿,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛后腿,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛腰窝,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛柳,37.0,37.5,38.0,斤,2022-01-01
肉禽蛋,牛肉类,精牛柳,40.0,41.0,42.0,斤,2022-01-01
肉禽蛋,牛肉类,牛腩,35.0,35.5,36.0,斤,2022-01-01
肉禽蛋,牛肉类,牛林,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛油,6.0,6.0,6.0,斤,2022-01-01
肉禽蛋,牛肉类,牛金钱腱,53.0,54.0,55.0,斤,2022-01-01
肉禽蛋,牛肉类,牛筋头巴脑,30.0,31.5,33.0,斤,2022-01-01
肉禽蛋,牛肉类,牛骨,5.0,5.5,6.0,斤,2022-01-01
肉禽蛋,牛肉类,牛排骨,31.0,31.5,32.0,斤,2022-01-01
肉禽蛋,牛肉类,牛板筋,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛尾,35.0,35.0,35.0,斤,2022-01-01
肉禽蛋,牛肉类,牛上脑,34.0,34.0,34.0,斤,2022-01-01
