一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,猪肉类,白条猪,10.5,10.5,10.5,斤,2022-01-01
肉禽蛋,猪肉类,白条猪,8.75,8.75,8.75,斤,2022-01-01
肉禽蛋,猪肉类,前臀尖,10.0,10.5,11.0,斤,2022-01-01
肉禽蛋,猪肉类,前臀尖,9.0,9.5,10.0,斤,2022-01-01
肉禽蛋,猪肉类,后臀尖,10.0,10.5,11.0,斤,2022-01-01
肉禽蛋,猪肉类,后臀尖,9.0,9.5,10.0,斤,2022-01-01
肉禽蛋,猪肉类,五花肉,13.0,14.0,15.0,斤,2022-01-01
肉禽蛋,猪肉类,五花肉,12.0,12.5,13.0,斤,2022-01-01
肉禽蛋,猪肉类,纯通脊,12.0,12.5,13.0,斤,2022-01-01
肉禽蛋,猪肉类,通脊,9.0,10.0,11.0,斤,2022-01-01
肉禽蛋,猪肉类,纯瘦肉,11.0,11.5,12.0,斤,2022-01-01
肉禽蛋,猪肉类,护心肉,12.5,12.75,13.0,斤,2022-01-01
肉禽蛋,猪肉类,前肘,12.0,13.0,14.0,斤,2022-01-01
肉禽蛋,猪肉类,后肘（带骨）,6.8,7.9,9.0,斤,2022-01-01
肉禽蛋,猪肉类,后肘（去骨）,9.0,9.5,10.0,斤,2022-01-01
肉禽蛋,猪肉类,猪尾巴,40.0,40.0,40.0,斤,2022-01-01
肉禽蛋,猪肉类,猪蹄,20.0,20.0,20.0,斤,2022-01-01
肉禽蛋,猪肉类,纯排骨,22.0,23.5,25.0,斤,2022-01-01
肉禽蛋,猪肉类,纯腔骨,8.0,9.0,10.0,斤,2022-01-01
肉禽蛋,猪肉类,腔排骨,14.0,15.0,16.0,斤,2022-01-01
肉禽蛋,猪肉类,棒骨,9.0,9.5,10.0,斤,2022-01-01
肉禽蛋,猪肉类,猪头,8.5,8.75,9.0,斤,2022-01-01
肉禽蛋,猪肉类,猪口条,15.5,15.5,15.5,斤,2022-01-01
肉禽蛋,猪肉类,猪耳,27.0,28.0,29.0,斤,2022-01-01
肉禽蛋,猪肉类,猪脑,25.0,25.5,26.0,斤,2022-01-01
肉禽蛋,猪肉类,猪肚,21.0,21.5,22.0,斤,2022-01-01
肉禽蛋,猪肉类,猪板油,6.0,6.5,7.0,斤,2022-01-01
肉禽蛋,猪肉类,肥膘肉,5.0,5.5,6.0,斤,2022-01-01
肉禽蛋,猪肉类,猪腰子,13.0,13.5,14.0,斤,2022-01-01
肉禽蛋,猪肉类,猪心,8.5,8.75,9.0,斤,2022-01-01
肉禽蛋,猪肉类,猪肝,5.5,5.75,6.0,斤,2022-01-01
肉禽蛋,猪肉类,猪肺,3.0,3.5,4.0,个,2022-01-01
肉禽蛋,猪肉类,猪皮,5.0,6.0,7.0,斤,2022-01-01
肉禽蛋,猪肉类,猪肠头,17.0,17.5,18.0,斤,2022-01-01
肉禽蛋,猪肉类,猪肠,16.0,16.0,16.0,斤,2022-01-01
