一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,羊肉类,整羊,28.0,28.75,29.5,斤,2022-01-01
肉禽蛋,羊肉类,去骨羊前腿,36.0,36.5,37.0,斤,2022-01-01
肉禽蛋,羊肉类,去骨羊后腿,37.0,37.5,38.0,斤,2022-01-01
肉禽蛋,羊肉类,羊腰窝,34.0,34.5,35.0,斤,2022-01-01
肉禽蛋,羊肉类,羊肉片,36.0,38.0,40.0,斤,2022-01-01
肉禽蛋,羊肉类,羊腰子,13.0,14.0,15.0,个,2022-01-01
肉禽蛋,羊肉类,羊蝎子,20.0,21.0,22.0,斤,2022-01-01
肉禽蛋,羊肉类,羊蝎子,28.0,29.0,30.0,斤,2022-01-01
肉禽蛋,羊肉类,羊排骨,28.0,28.0,28.0,斤,2022-01-01
肉禽蛋,羊肉类,羊尾巴油,9.0,9.0,9.0,斤,2022-01-01
肉禽蛋,羊肉类,羊小腿,24.0,24.5,25.0,斤,2022-01-01
肉禽蛋,羊肉类,羊腱子肉,37.0,37.5,38.0,斤,2022-01-01
肉禽蛋,羊肉类,羊上脑,36.0,36.5,37.0,斤,2022-01-01
肉禽蛋,羊肉类,羊骨头,11.0,11.5,12.0,斤,2022-01-01
肉禽蛋,羊肉类,羊腩,26.0,27.0,28.0,斤,2022-01-01
肉禽蛋,羊肉类,羊里脊,36.0,36.0,36.0,斤,2022-01-01
